03a631aec739	Bit Arts	NPG	Planet 19	
03aa161e60ec	C-Frog			
03b029e747d7	BB Fuck			
03b7274c2d2e	Kane Wood			
03c09a4ca87e	Front 6			
03c8bd5ba3dd		Disk Busters Association	DBA Magazine #13	
03cec5aff0a8	Chipper		TCB Tracker Conversions	
03cf0e99652c	Ripguy			
03de6cc7fa1c	Moonshine			
03e137d5a68b	Emax	FUN Industries	Crazy Chippie Compile	
03eca450b277	Beast	Reanimators	Music Demo	
03ef6d582188	Groo	Empty Head	Power up	
03f0dbec0de4	Simon			
03f34237fa99	Wiz			
03f355bad8a4	Surf			
04086e8716c9	Tim Wright	Psygnosis	Agony	
041636963022	Blue Tiger			
0417948f63b1	DJ Nico			
041879b75028	Karsten Obarski	The Exceptions	The Amiga Demo	
042441d02946	Radium	FUN Industries	Funscape Magazine 1.5	
0436823f902a	Cerror			
0447753238cf	Ripguy			
044796b20d8c	Iso			
044ade4fe9a4	Dump	Fuzion	Fuzion CD #185 intro	
045d16cc4fb6	Excellence in Art	Unique Development Sweden	Obsession	
045daedd01c5	Cerror			
04600a9be37b	Rib	Bloodhouse	Stardust	
0461684ea9ab	D.D			
0463f39ac64a	Clawz			
04726764a3df				1996
047c5426e544	LHS	Paradize	Outline 2007 slideshow	
047f91ebb6f6	Virgill	FUN Industries	No fun at all	
048679e53885	Front 6~Keith303			
04972e4c9494	Shrimp	New Core	Coreflakes	
049b703b6592	Kenet			
04a072aee238	Phoenix			
04acc07d002d	Toodeloo	Dead Hackers Society	Chippin' For Air! 6	
04af6c920b53	Dubmood			
04b1ac79d1ea	Jess		Teddy Bear	
04b54f4a0094		Hemoroids	Hemosound 2	
04bacbc30ad1	Front 6			
04c5b552f217	Babydee			
04c8fc2dc570	Cerror			
04cea6e50605		Titus Software	Titus the Fox	
04d71b76b7e4	Swizzle	The Wild Boys	Digi-Synth 2 Demo	
04db5045a472				1994
04e84f305c2f	Hydra	FUN Industries	Crazy Chippie Compile	
04efe1baa11a	Damo	Redlite	Kingdom	
04f1b27f9626	Clawz			
04f2869e903a	Timbral			
04f8bef0c1e7	D.D			
04f8e752526c	Tim Bartlett	Grandslam	Beastlord	
050017061221	Teque			
0506d05faf69	Lotek Style			
050c239a8c9a	Cyberpunk			
050f57b59a16	Tebirod			
051a784d18fb	Simon			
0522e3abf08b	Ripguy			
