000079f399a6af459f75802f9c24615e	1	197161	player+silence	uade	Protracker	0	222222	ac415b41	grogon pl/how to drop potatoes.mod
0001abe70f120624a4d418bf5233500f	1	333645	player	uade	Protracker	0	500134	a46df7a7	roz fi/dust addict.mod
0004d5917e3fdb282a166f158dcd138f	1	118194	player	uade	Protracker	0	15128	e01cfdf3	flapjack pl/trail.mod
0007ac0442c3073f3f9d3c6a7440b0d0	1	289647	player+silence	uade	Protracker	0	165002	db9a4ca3	rymix us/machine.mod
000a3a74cffb9c74203f5b24cdcc9d6f	1	273603	player	uade	Protracker	0	261344	1c03713f	thomas ambus xx/illuzina part i.mod
000aee6e7c7c26eb82b426bd3e85d196	1	286524	player	uade	Protracker	0	179666	c57407b6	mellon se/buzz#1.mod
000b6be5b44e8cb061140a62347903a1	1	69224	player	uade	Protracker	0	11892	65f1fee9	frenzy no/awe intro 15.mod
000c9bc0438939c5b403ab22c0107512	1	173292	player	uade	Protracker	0	528600	c27b3a29	buzzer fi/prodigy.mod
00124ccce7eed4676d268f6a70a3ff02	1	167124	player	uade	Protracker	0	117006	166d4846	bernard sumner uk/dictation on air.mod
0012f84bf2ec6615a2e448b9de8b24b3	1	61769	player	uade	Protracker	0	231330	8b6f2e91	rix se/blue skies.mod
00152a9cc0724ceeea35120c2fd23eca	1	150425	player+silence	uade	Protracker	0	210906	3eef5d05	maf fr/peacetime.mod
0017e5d476742a1b55545b67edccc6e1	1	107645	player	uade	Protracker	0	207674	a73378b8	muse au/saloons are forever.mod
001f1c34d5fe6fcfe2487d01c0aeea17	1	149721	player+silence	uade	Protracker	0	64578	f51aa65a	factor6 cz/deflection.mod
002052e2c7487b2979f9c653a443ed76	1	156421	player+silence	ft2play	Fasttracker (M.K.)	4	280084	bafd0e1a	panik se/saturday m0rning.mod
0020d6f07ff4fd48aacec34ec113d7a6	1	265103	player	uade	Protracker	0	250928	829d19f4	the assasin uk/Virgill&Assassin-Calcpreculation.mod
0022016c0a9b5ef42336e39d6f78f532	1	115321	player	uade	Protracker	0	226110	5d56fb13	anthony uk/blitztime2!.mod
0024dbceb7959fc5a5f7a39c31d1d91a	1	100732	player	uade	Protracker	0	255876	399245f1	cytron dk/47th street.mod
002834bb3479e0d7c0ed297a2a1856e3	1	268921	player	uade	Protracker	0	129004	ea54dcdb	hardcore de/lords-of-darkness.mod
