03be22521976	Jelace			
03c738b1ec37	Sinister	Giants	Brain Damage #3	
03c74c309baf	Mr Man			
03cd8507c124	D-Zire	The Silents		
03cf2ec2a58a	Bruno		Bruno's Music Box 3	
03d1e9f27eed	Heizahn	20 Minute ChipTune Compo		
03d30f80c363	Thomas Soliman	The Gathering		1994
03d8014ab8aa	Syntex	The Gathering		1994
03dddcb80baf	Mushies			
03e0ae4ee0e4	Twister			
03e6a170a8d4	Laxity	Kefrens		
03ea8d59e148	Calvin	The Trackering		1995
03f4eff99c6e		Les Heretiques		
03f5487009a8	DJ Joge		Digital Disco 2	
03f6b8444208	4mat			1991
03fd39098314	Dr Awesome			
040144fb24de	Brainbug		Chip Chop #2	
0402604a9ac0	Mr. Palmer	Equinox	Leviathan	
040cb32f8e8e	Allister Brimble			
04152474e2c6	Twilight			1992
0419148f6568	Static			
04199824c959	SMT			
041d982d0385	Dr Awesome			
041e2ae4b872	Magnum Force			
041e6b920716	Steel			1993
042977fd320d	Doc Holiday~Twilight			
042be011bafc	Mel o'Dee			
0432ba1e1b16	Baroque			1995
043de762889a	Lizardking~Some1			
04437706fd47	Dr Bully		Top Secret 8	
0446d274cb81	Bruno			
0453c687a4a8	Taron			
04558b578085	Baby			
045819b4536e	Diesel			1994
045a2e6c9c1f	XTD			1994
045bee94d905	B. Bahnhof		Eurocharts-27	
046171fe4938	Nutcase			1992
0463f39ac64a	Clawz			
0473067fd7a6	Soundwave	Assembly		1994
048af6109a02	Oxbow	Intense	Chip's #4	1995
048d30c75d81	Tyranno von Saurus	Aristocracy		1994
048fbce94e52	Draghan	Spasm	Culture	1993
04912802c8bd	Shades			1994
04914920d5c6	Brite-Lite	Assembly		1994
0493b4061015	Mantronic	Wizzcat		
04945f0bd9b1	Vinnie			
049b4c267d78	Nebula			
04a104f7fae5	Roberts	Applause		1994
04a4e18e8c74	Archangel	Alcatraz	CyberLogik	1995
04abcf4e6deb	Luxor	MFC		
04b75b2d2478	Deelite	Vomit		1993
04c0c148b377	PKK			1993
04c43e342e66	Nebula			1992
04c901a6a6c5	Jelace			
04c968c7e44d	Chris Meland		Not To Be Forgotten	1995
04d0fc9707e8	Laxical			
04d22239083f	Dr Awesome	DENS Design		
04d862425cab	Jogeir Liljedahl			
04d97822bee6	Maso	Accession		1990
04d9821373ac	Pink	Abyss		
04ddf04f902d	Tex	Ram Jam	New Age	1993
04e1e83120c6	Johan Alpmar			
04e2f44b5be8	Otis			1994
04f1b27f9626	Clawz	Saturne Party		1994
04f887180da2	Blade Vacum	Sagazity	End of the Misery	
04fb169fda22	Reg			
05080675f466	Covert Action Team	Essence		
0510d42b395b	Maelcum			
0515967b4593	Mr Man			
0516edbe6735	Laxical~Sir Henry			
052412727c47	Hollywood	Lunatics		
05281723d1ea	Wotw			1991
0528a48b35e3	Mellow-D			1991
052e3c5966e9	Fred			1988
05392c69ec3e	Peter Salomonsen			
053b0dabb0b0	Tracker	Assembly		1994
053fad53c1b4	The Zapper	Force Ten		1994
054057ad5126	Fabian			
0545a1b5af8f	Necros			1994
054643a20705	Phoenix	20 Minute ChipTune Compo		
054bf16595f1	Solon	Extreme		1994
054de17127c9	Laxical	Sardonyx	Seenpoint 2	
0554f3363852	Emax			1993
05568cc2143e	Brainbug			1993
055a30b1babd	Allister Brimble			
05602d3474ac	EAD	Intense	Polychrome	
0563008a70c5	XTD			1992
0565ad0ec013	DJ MFX			
056846b5e97b	Siren	The Trackering		1996
057598529e6a	Necros			1994
05769bbbdaf6	Greg	Alcatraz	Megademo 4	
0577a2dad01a	Cerebroïd			
057b9622f01d	Dascon	Essence	ROM 1	1994
0584fd255492	Nocture Design			
058bb3333610	Lepra	The Trackering		1996
058f41a47d47	TDK			1993
058f799eed48	The Zapper	Force Ten	Force Ten Music Pack #3	1995
059adab75874	Non Plus Ultra			1995
059e8a4f879a	Liquid		Imperial Tunes 1	
05a0c574fdb9	Mantronix~Tip			
05af7887b1cd	911			
05b13f434389	Strobo			1991
05b214ad528c	Jazz.france			
05b2f514a51d	Vinnie			
05b425477c7f	Gandbox			1993
05bb33e8014b	Bar			1991
05bc962c8f72	Mr Man	Absence		
05c8f2dc3f58	Strobo			
05cdabd0f1e4	Nuke			
05ceb843d6b2	Dada	The Party		1994
05cf5b1f4e5d	Diablo			
05cf9473842d	The Fox	The Jungle Command		
05d066a78949	Jester			1990
05e0779edf60	Reflex			1994
05e4399e3f86	Mantronix	Fairlight		1990
05e5173a54fc	Zodiak	Cascada	Holistic	1994
05e5908e51f9		Kefrens		
05e7eee17e18	Interphace	Andromeda	Mirror	
05ec0be579c2	Twister			
05f16873ec6d	Fred		SoundMachine Part 1	
05f2e77a4fca	Gryzor			
05f4fc65a932	Espen_R	The Gathering		1996
05fab836442f	Pink	Abyss		1994
05ffa197b504	DeathJester			1992
0606aab17704	Music-Steve			1988
061074446a6c	Nuke			
061321129e91	Sunday	The Trackering		1996
0613b5ba5ead	Heatbeat			1993
061bfee4d241	Pink	Abyss		1993
061d1f8a34c9	Reflex			
062109b0722a	Hollywood	End Of Century 1999		
062af4317ec5	NightLight	Kefrens	Megademo VIII	1990
062ce2b82fc0	Chorus~Sid			1994
06353771f7a5	Absys			
0638f4896ed4	XTD			1995
0638f4dac0f6	Arpegiator		Drums & Reverbs	
063a613970cc	Titan			1995
0651a718b5a6	TDK			1992
065382f8b891	Hornet			
06575b576005	XTD		Starlight	1993
066b83a311ec	Hardfire			1994
0677683a7af9	Zodiak			
067f06fad4ed	Toto Barcellona			
067ff9b3ee59	Mem o'Ree	Abyss	Diznee Land 2	1994
06850dbb1a0a	Jesper Kyd			
0686994732e1	4mat			
068ae1b0aa71	Ryan Cramer			1994
068b00e783db	Gibs			
068dfdd037f3	Dizzy			
06925b45ec31	Cyntex	Equinox		
06974464534b	Monty		Cobalt	1994
069bb0465291		The Party		1994
06ac9facc075	Delorean			
06b129e3e87a	Gryzor			
06b23df97e2f	XTD			1992
06b9c0ffa6fc	Pink	Abyss		1994
06bdef7b718d	Dreamer			1993
06c556a5cb1e	Basehead		Oddities	1995
06cfd68e6f52	Doh			1994
06d08e2a12aa	Reverse			
06d15b25ec44	Peters~XTD			
06d6d8432842	Liquid			1992
06d9d86435eb	The Mixer			1995
06de1ba0ba40	Jogeir Liljedahl		Dizzy Tunes 1	
06df7f73847e	The Zapper	Force Ten	Force Ten Music Pack #5	1995
06f1319e42d2	Dizzy			
06f92aaaa7c2		Melon Dezign	Melk	
07029e65e5a1	Dreamer			1995
07060835bc59		Rebels	Megademo 2	1990
07109416655b	Bruno			
071390e99182	Uncle Ben	Gigatron		
0715a7937a37	Designer	The Party		1994
07165094c4eb	Don Cato			1995
07192a111366	Disaster	Bass		
0719a6c28a48	Pat	Fear		1994
071cae4f1491	Counterpoint			1994
071dede988e9	NightLight	Kefrens	Megademo 7	1989
072719238549	Superted	The Gathering		1996
072b62218259	Mindfuck			
0731c399e803	Dr Awesome			
073ccfc60712	JPN			
073e08892df3	Johan Alpmar			
074f7862024e	Rogue Male			
075615521842	Acetip			
075807e8cc65	Mellow-D			1994
0759231c0d57	XTD			1995
075b487d679e	Tip			
076409b3f86c	Hollywood	Lunatics		
076bd49b1028	Purple Motion		Journey 1	1993
076d14d97011	Shamrock	Ram Jam		
076df53e458f	Jester			1990
0770d45d2e05	Gryzor	Dmacon	Tune-Disk 3	1991
0779cf94d3c3	Sasquatch	South Sealand		1994
0784e2d3346f	Outzider			
078964c85600	Strobo			
078b1cae469e	Hydra			1993
078d2161d25b	ARU			1994
078d3c2a9726	Pink	Abyss	Disissid 2	1994
078e855996e1	Kookai			
078f60bd3a30	Johan Alpmar			
0793acd84f3c	Superbee	Analog		
079573a824a2	JCS			1995
07962f13ac56	Mushies~Soundy	New Generation Crew	Animatunes	
0798e4386ec1	Delorean			
0799e2ddfa3d	Dreamer	TPDL		
07adeb6129cf	Audiomonster	Iris New Year Conference		1991
07b18fce285e	Popolon			1993
07b26144de1c	Basehead	Imphobia	Imphobia  #9	1995
07b605d6f3fa	Jester			1994
07c32c4f1d3f	Non Plus Ultra			1995
07cb268f368c	Nao			
07e0987855c2	Erekosë	Analog		
07e87b899a69	Mystical			1995
07ea01fb213f	Dean			
07f252f5a657	Dreamer			1994
08027a793061	Allister Brimble			
080449ed2913	Hornet			
0809c654cc60	Clawz	The Party		1994
080d58e69a1d	Nuke		Legalise It 2	
08137710862d	Rymix			
081a913e9cc4	Woober	The Party		1994
0826d18727d7	Axis	Eremation	Outlaw #2	1993
